iter	Passed	Remaining
684	896	412
685	897	410
686	898	409
687	900	408
688	901	406
689	902	405
690	903	403
691	904	402
692	905	401
693	906	399
694	907	398
695	908	396
696	909	395
697	910	394
698	912	392
699	913	391
700	915	390
701	916	389
702	917	387
703	918	386
704	919	384
705	920	383
706	921	382
707	922	380
708	924	379
709	925	378
710	928	377
711	929	375
712	930	374
713	932	373
714	933	372
715	934	370
716	935	369
717	936	367
718	937	366
719	939	365
720	941	364
721	943	363
722	944	362
723	946	360
724	947	359
725	948	357
726	949	356
727	950	355
728	951	353
729	952	352
730	954	351
731	955	349
732	956	348
733	957	347
734	958	345
735	959	344
736	960	342
737	961	341
738	962	340
739	969	340
740	971	339
741	972	338
742	973	336
743	974	335
744	976	334
745	977	332
746	978	331
747	979	329
748	980	328
749	983	327
750	984	326
751	986	325
752	987	323
753	988	322
754	989	321
755	990	319
756	991	318
757	992	316
758	993	315
759	995	314
760	997	313
761	998	311
762	999	310
763	1000	309
764	1001	307
765	1002	306
766	1003	304
767	1004	303
768	1005	302
769	1006	300
770	1007	299
771	1009	298
772	1010	296
773	1011	295
774	1012	294
775	1013	292
776	1014	291
777	1016	289
778	1017	288
779	1018	287
780	1019	285
781	1020	284
782	1021	283
783	1023	281
784	1024	280
785	1025	279
786	1026	277
787	1027	276
788	1028	275
789	1029	273
790	1030	272
791	1031	270
792	1032	269
793	1033	268
794	1034	266
795	1035	265
796	1037	264
797	1038	262
798	1039	261
799	1041	260
800	1042	258
801	1043	257
802	1044	256
803	1045	254
804	1046	253
805	1047	252
806	1051	251
807	1052	250
808	1053	248
809	1054	247
810	1055	246
811	1057	244
812	1057	243
813	1059	241
814	1060	240
815	1061	239
816	1062	238
817	1064	236
818	1065	235
819	1067	234
820	1068	232
821	1069	231
822	1071	230
823	1072	229
824	1074	227
825	1076	226
826	1078	225
827	1079	224
828	1080	222
829	1082	221
830	1083	220
831	1084	218
832	1085	217
833	1086	216
834	1087	214
835	1088	213
836	1088	212
837	1090	210
838	1091	209
839	1092	208
840	1093	206
841	1094	205
842	1095	204
843	1096	202
844	1098	201
845	1099	200
846	1100	198
847	1101	197
848	1102	196
849	1103	194
850	1106	193
851	1107	192
852	1108	191
853	1109	189
854	1111	188
855	1112	187
856	1113	185
857	1114	184
858	1115	183
859	1116	181
860	1117	180
861	1120	179
862	1122	178
863	1123	176
864	1123	175
865	1124	174
866	1125	172
867	1126	171
868	1127	170
869	1128	168
870	1129	167
871	1130	165
872	1133	164
873	1134	163
874	1136	162
875	1137	160
876	1138	159
877	1139	158
878	1139	156
879	1141	155
880	1142	154
881	1143	152
882	1144	151
883	1145	150
884	1147	149
885	1148	147
886	1149	146
887	1150	145
888	1151	143
889	1152	142
890	1153	141
891	1154	139
892	1155	138
893	1156	137
894	1157	135
895	1158	134
896	1160	133
897	1161	131
898	1162	130
899	1163	129
900	1164	127
901	1165	126
902	1166	125
903	1167	123
904	1168	122
905	1169	121
906	1170	119
907	1171	118
908	1175	117
909	1176	116
910	1178	115
911	1179	113
912	1180	112
913	1181	111
914	1182	109
915	1185	108
916	1188	107
917	1190	106
918	1191	105
919	1192	103
920	1194	102
921	1195	101
922	1196	99
923	1199	98
924	1201	97
925	1203	96
926	1205	94
927	1206	93
928	1207	92
929	1208	90
930	1209	89
931	1210	88
932	1211	86
933	1212	85
934	1213	84
935	1214	83
936	1215	81
937	1217	80
938	1218	79
939	1219	77
940	1220	76
941	1221	75
942	1222	73
943	1223	72
944	1224	71
945	1225	69
946	1226	68
947	1228	67
948	1230	66
949	1231	64
950	1233	63
951	1234	62
952	1235	60
953	1236	59
954	1237	58
955	1238	56
956	1239	55
957	1240	54
958	1242	53
959	1243	51
960	1245	50
961	1246	49
962	1247	47
963	1248	46
964	1249	45
965	1250	44
966	1251	42
967	1252	41
968	1253	40
969	1254	38
970	1256	37
971	1257	36
972	1259	34
973	1259	33
974	1261	32
975	1263	31
976	1264	29
977	1265	28
978	1267	27
979	1267	25
980	1269	24
981	1271	23
982	1272	22
983	1273	20
984	1274	19
985	1275	18
986	1277	16
987	1278	15
988	1280	14
989	1281	12
990	1282	11
991	1284	10
992	1286	9
993	1287	7
994	1289	6
995	1290	5
996	1290	3
997	1291	2
998	1292	1
999	1293	0
